Local School System,Total Offenses,Attendance,Dangerous Substances,Weapons,Attacks/Threats/Fighting,Arson/Fire/Explosives,Sex Offenses,Disrespect/Disruption,Other
State Total,"1,571",23,171,61,691,20,55,480,70
Allegany,55,0,9,0,27,0,0,19,0
Anne Arundel,82,0,4,9,37,5,4,13,10
Baltimore City,16,0,0,0,13,1,1,0,1
Baltimore,120,1,22,13,44,1,3,31,5
Calvert,35,0,2,0,18,0,5,8,2
Caroline,40,2,5,0,24,2,0,7,0
Carroll,181,2,10,3,77,2,5,74,8
Cecil,216,0,12,5,117,0,4,72,6
Charles,29,0,2,1,7,1,5,8,5
Dorchester,92,0,9,3,44,0,1,33,2
Frederick,31,0,7,3,13,1,0,4,3
Garrett,12,0,1,1,5,0,0,5,0
Harford,135,0,7,6,57,3,5,50,7
Howard,23,0,3,3,10,0,1,5,1
Kent,31,0,1,0,11,0,2,17,0
Montgomery,10,0,0,0,3,0,1,3,3
Prince George's,23,0,3,2,6,2,8,0,2
Queen Anne's,17,0,4,0,11,0,0,2,0
SEED School,0,0,0,0,0,0,0,0,0
Saint Mary's,41,0,5,2,25,0,4,4,1
Somerset,117,1,7,1,43,0,1,61,3
Talbot,8,0,0,1,3,0,0,4,0
Washington,136,7,39,5,48,2,2,26,7
Wicomico,16,0,1,0,8,0,2,5,0
Worcester,105,10,18,3,40,0,1,29,4
