Local Education Agency,Total Offenses,Attendance,Dangerous Substances,Weapons,Attacks/Threats/Fighting,Arson/Fire/Explosives,Sex Offenses,Disrespect/Disruption,Other
State Total,"73,237",321,"6,535","1,450","37,489",397,"1,091","23,328","2,626"
Allegany,690,0,92,12,247,9,22,300,8
Anne Arundel,"9,278",9,572,119,"5,106",45,213,"2,945",269
Baltimore City,"8,434",92,658,199,"4,704",65,103,"2,346",267
Baltimore,"13,357",44,"1,103",307,"6,147",81,172,"4,894",609
Calvert,"1,185",28,156,15,405,3,13,468,97
Caroline,893,17,137,11,382,4,8,315,19
Carroll,"1,162",0,138,8,484,1,9,491,31
Cecil,"2,494",0,240,25,"1,018",1,37,"1,131",42
Charles,"4,009",3,338,72,"1,928",13,10,"1,527",118
Dorchester,"1,683",0,72,13,916,6,19,600,57
Frederick,"2,449",0,242,34,"1,245",8,43,813,64
Garrett,50,2,15,2,21,0,0,10,0
Harford,"2,970",0,231,51,"1,283",19,58,"1,267",61
Howard,"2,071",0,167,59,"1,453",17,26,267,82
Kent,383,32,30,1,88,2,0,218,12
Montgomery,"3,297",15,387,117,"2,112",22,84,391,169
Prince George's,"10,555",0,"1,137",275,"6,048",58,202,"2,369",466
Queen Anne's,536,22,41,8,206,4,1,232,22
SEED School,31,0,4,0,17,0,2,6,2
Saint Mary's,"1,636",0,152,22,713,3,17,665,64
Somerset,"1,219",1,69,9,547,2,4,562,25
Talbot,341,0,36,8,181,1,5,106,4
Washington,"1,632",30,163,43,918,16,15,415,32
Wicomico,"2,569",0,297,36,"1,217",16,24,881,98
Worcester,313,26,58,4,103,1,4,109,8
